,source,publisher,title,content,language,date
0,net-security,Help Net Security,Containers have 600+ vulnerabilities on average,"Containers are the fastest growing &#8211; and weakest cybersecurity link &#8211; in software supply chains, according to NetRise. Companies are struggling to get container security right. Issues from misconfigured clouds, containers, and networks to uncertainty over who owns container security throughout the software’s lifecycle persist. And yet, according to a 2022 Anchore report, enterprises plan to expand container adoption over the next 24 months, with 88% planning to increase container use and 31% planning to &#8230; More &#8594;The post Containers have 600+ vulnerabilities on average...",en,2024-12-11 04:30:11+00:00
1,dvidshub,Mikia Muhammad,"Troop Support dress clothing supervisor, Medical team win DLA Director’s Strategic Goals Awards","Six members of the Defense Logistics Agency Troop Support’s Medical supply chain Customer Pharmacy Operations Center team and supervisor of the Clothing and Textiles dress clothing planning team received DLA Director’s Strategic Goals Awards for fiscal year 2023 fourth quarter, on behalf of DLA Director Navy Vice Adm. Michelle C. Skubic.",en,2024-12-10 21:09:41+00:00
2,dvidshub,Mikia Muhammad,C&T director introduces new coin at first town hall,A coin designed especially for Defense Logistics Agency Troop Support’s Clothing and Textiles supply chain was introduced to the workforce during a town hall November 6.,en,2024-12-10 20:55:24+00:00
3,dvidshub,Mikia Muhammad,C&T director introduces new coin at first town hall [Image 3 of 3],"DLA Troop Support Clothing and Textiles Director Army Col. Bernard K. Monroe, left, speaks to C&T team members during a town hall event Nov. 6, 2024. It was the first town hall Monroe hosted since becoming the supply chain’s director in summer 2024.",en,2024-12-10 20:55:24+00:00
4,dvidshub,Mikia Muhammad,C&T director introduces new coin at first town hall [Image 2 of 3],"DLA Troop Support Clothing and Textiles Director Army Col. Bernard K. Monroe, far right, stands with C&T coin recipients and C&T Deputy Director Steven Merch, far left, during a town hall event Nov. 6, 2024. Monroe introduced the coin for the first time during the event to distinguish the supply chain as unique.",en,2024-12-10 20:55:23+00:00
5,dvidshub,Mikia Muhammad,"C&T hosts 10th annual industry event, instills collaboration, communication","More than 1,000 representatives from the Defense Logistics Agency, military services and domestic clothing and textiles industrial base participated in the 10th annual Joint Advanced Planning Brief for Industry, hosted by DLA Troop Support’s Clothing and Textiles supply chain, November 20-21.",en,2024-12-10 20:41:34+00:00
6,dvidshub,Mikia Muhammad,"C&T hosts 10th annual industry event, instills collaboration, communication [Image 6 of 6]","DLA Troop Support Commander Army Brig. Gen. Landis C. Maddox, left, speaks at the 10th annual Joint Advanced Planning Brief for Industry, hosted by the Clothing and Textiles supply chain, November 20, 2024 in Cherry Hill, New Jersey. Clear and open communication was Maddox’s key takeaway to more than 1,000 representatives from DLA, the military services and domestic clothing and textiles industrial base in attendance.",en,2024-12-10 20:41:34+00:00
7,dvidshub,Mikia Muhammad,"C&T hosts 10th annual industry event, instills collaboration, communication [Image 4 of 6]","C&T Director of Supplier Operations Leighann Mazoki, left, shared inventory projections and special topics related to supply chain business at the 10th annual Joint Advanced Planning Brief for Industry November 20, 2024 in Cherry Hill, New Jersey. Mazoki also emphasized the importance of collaboration with stakeholders for DLA to maintain its standard as logistics experts to more than 1,000 representatives from DLA, the military services and domestic clothing and textiles industrial base in attendance during the two-day event.",en,2024-12-10 20:41:33+00:00
8,Investing.com | Stock Market Quotes &amp; Financial News,Investing.com,"Edgewell Personal Care's chief supply chain officer sells stock for $165,266","Edgewell Personal Care's chief supply chain officer sells stock for $165,266",en,2024-12-10 20:32:48+00:00
9,Bloomberg | Latest And Live Business,PTI,Canadian Pension Fund Arm Co-Leads $180 Million Investment In Indian Supply Chain Platform Mintifi,Canadian Pension Fund Arm Co-Leads $180 Million Investment In Indian Supply Chain Platform Mintifi,en,2024-12-10 19:00:55+00:00
