,author,title,description,url,content,source
0,Chris Baraniuk,Why an Offline Nuclear Reactor Led to Thousands of Hospital Appointments Being Canceled,Radioisotopes are a vital resource for imaging patients’ organs and tumors—but these unstable elements also suffer from an unstable supply chain.,https://www.wired.com/story/why-an-offline-nuclear-reactor-led-to-thousands-of-hospital-appointments-being-cancelled/,"I remember in Geneva, two months ago, we said, Pay attention, because on this specific week there is a risk of shortage if there is any problem with one of the active reactorsand thats what happened,… [+2521 chars]",2024-11-27T11:27:10Z
1,,[Removed],[Removed],https://removed.com,[Removed],2024-12-03T16:29:08Z
2,Tim Hardwick,"Tim Cook at CEO Summit in China to Talk Supply Chain, Trade Issues","Apple CEO Tim Cook on Monday made his third visit to China this year, ahead of a five-day supply chain conference with Chinese Premier Li Qiang and other corporate leaders (via Bloomberg).





The Apple chief joined more than 20 global business leaders in me…",https://www.macrumors.com/2024/11/25/tim-cook-visits-china-third-time-this-year/,"Apple CEO Tim Cook on Monday made his third visit to China this year, ahead of a five-day supply chain conference with Chinese Premier Li Qiang and other corporate leaders (via Bloomberg).
The Apple… [+1763 chars]",2024-11-25T12:51:15Z
3,RyotaK,Compromising OpenWrt Supply Chain,"Introduction Hello, I’m RyotaK (@ryotkak ), a security engineer at Flatt Security Inc.
A few days ago, I was upgrading my home lab network, and I decided to upgrade the OpenWrt on my router.1 After accessing the LuCI, which is the web interface of OpenWrt, I …",https://flatt.tech/research/posts/compromising-openwrt-supply-chain-sha256-collision/,"Posted on 
December 6, 2024
 • 
11 minutes
  •
2240 words
Table of contents
Introduction
Hello, I’m RyotaK (@ryotkak
), a security engineer at Flatt Security Inc.
A few days ago, I was upgr… [+15756 chars]",2024-12-09T04:36:09Z
4,Jess Weatherbed,Stellantis CEO Carlos Tavares resigns from struggling carmaker,Carlos Tavares is stepping down as Chief Executive Officer of Stellantis following a sharp decline in the carmaker’s sales. A new CEO will be appointed in 2025.,https://www.theverge.com/2024/12/2/24310921/stellantis-ceo-carlos-tavares-resigns-effective-immediately,"Stellantis CEO Carlos Tavares resigns from struggling carmaker
Stellantis CEO Carlos Tavares resigns from struggling carmaker
 / Dealers have criticized the automaker for not releasing affordable v… [+1840 chars]",2024-12-02T13:34:51Z
5,Matt Novak,That Tech Guy Who Used His Son as a Blood Boy Is Hawking Supplements Now,Bryan Johnson recently posted a photo of himself with Robert F. Kennedy Jr.,https://gizmodo.com/that-tech-guy-who-used-his-son-as-a-blood-boy-is-hawking-supplements-now-2000523126,"Do you remember Bryan Johnson, the 47-year-old venture capitalist who wants to say as young as possible for as long as possible? The guy who uses his son’s blood in that effort? Well, he’s got a line… [+3112 chars]",2024-11-11T19:30:16Z
6,,"Homebase collapses into administration with 2,000 jobs at risk","Homebase enters administration, but The Range buys up to 70 stores and the brand.",https://www.bbc.com/news/articles/c624nzepd59o,"Homebase has collapsed into administration, putting 2,000 jobs at risk.
Its owner Hilco had been looking to sell the struggling retailer, but has not managed to find an outright buyer.
The owner of… [+2574 chars]",2024-11-13T17:09:37Z
7,Alex Bitter,Williams-Sonoma says rivals who lean into discounts are training shoppers to 'wait for that promotion',Williams-Sonoma CEO Laura Alber said the chain has reduced the number of discounts it offers since they can push customers to delay purchases.,https://www.businessinsider.com/williams-sonoma-ceo-says-discounts-train-customers-to-delay-purchases-2024-11,"Williams-Sonoma has been offering fewer discounts because they can lead customers to delay purchases, the company's CEO said.Scott Olson/Getty Images
<ul><li>Some retailers are offering discounts an… [+2469 chars]",2024-11-21T17:24:56Z
8,Usman Kabir,NVIDIA Corporation (NVDA) Supply Chain Boosted by Vishay’s Strong Orders for AI Servers and RTX 50 Series,"We recently compiled a list of the 15 AI Stocks on Wall Street’s Radar. In this article, we are going to take a look at where NVIDIA Corporation (NASDAQ:NVDA...",https://finance.yahoo.com/news/nvidia-corporation-nvda-supply-chain-195023718.html,"We recently compiled a list of the 15 AI Stocks on Wall Street's Radar. In this article, we are going to take a look at where NVIDIA Corporation (NASDAQ:NVDA) stands against the other AI stocks.
Ube… [+3477 chars]",2024-11-28T19:50:23Z
9,Willy C. Shih,8 Questions to Ask About Your Globalization Strategy Right Now,Donald Trump’s victory in the U.S. presidential election is just the latest reason to rethink your approach.,https://hbr.org/2024/11/8-questions-to-ask-about-your-globalization-strategy-right-now,"Companies around the world are confronting a new era of globalization. The combination of geopolitical rivalries, sweeping supply-chain vulnerabilities exposed by the Covid-19 pandemic, and the rise … [+238 chars]",2024-11-19T13:05:12Z
10,Trevor Mogg,Apple gearing up for ‘first foray into smart home camera market’,"Apple is planning to launch a smart home security camera in 2026, a prominent figure with contacts in Apple’s supply chain claimed on Monday.",https://www.digitaltrends.com/home/apple-to-launch-a-smart-home-camera-prominent-analyst-claims/,"Apple is planning to release a smart home security camera in 2026, according to Ming-Chi Kuo, a prominent figure with contacts in Apple’s supply chain in Asia.
“Apple is making its first foray into … [+2038 chars]",2024-11-12T04:45:44Z
11,Hasan Chowdhury,Nvidia's Blackwell era will test the world's most valuable company in a highwire act,"Nvidia needs to provide performance leaps and navigate supply-side pressures to meet high expectations for its next-gen AI chip, Blackwell.",https://www.businessinsider.com/nvidia-blackwell-ai-chip-sales-earnings-jensen-huang-2024-11,"Nvidia's new AI chip, Blackwell, is key to the company's next growth phase.Justin Sullivan/Getty Images
<ul><li>Nvidia has a lot riding on Blackwell, its new flagship AI chip. </li><li>Investors had… [+5743 chars]",2024-11-21T14:23:10Z
